Compound CID,pIC50 (M)
132472797,5.292429823902063
71452522,6.638272163982407
162138,4.096910013008056
6323491,7.522878745280337
24862641,5.0
60155059,5.522878745280337
16220256,5.728158393463501
15563754,4.0
119045,4.594995334949631
5316793,4.221848749616356
3080597,5.6777807052660805
5481965,5.136677139879544
11785812,8.522878745280337
25208913,5.0
14466855,5.0
44254695,4.32771737521108
44243827,5.0
11823545,5.12953756841108
44575737,6.585026652029182
11049378,5.0
6438401,7.7447274948966935
5790,4.913996294381618
44179098,5.0
133561645,5.0
44575244,4.818156412055227
21637632,4.671824338561677
134141097,5.0
71712814,5.0
73440,5.301029995663981
71725774,4.3979400086720375
11061745,6.522878745280337
10002209,4.982966660701219
3220,3.4983930775811705
10783228,4.414539270491499
71725618,5.6777807052660805
44577070,6.017728766960432
44234694,4.301029995663981
108075,4.142667503568732
72629,5.2441251443275085
72702042,5.0
10658,5.823908740944319
90680625,4.0
25227558,5.0
53493987,4.0
24970645,4.301029995663981
73346224,4.301029995663981
10163855,4.096910013008056
57409759,4.301029995663981
51039828,4.179798540514359
5281646,5.0
